k,alpha,K,acc,rec_0,rec_1,rec_2,rec_3,rec_4,rec_5,rec_6,rec_7,rec_8,rec_9,prec_0,prec_1,prec_2,prec_3,prec_4,prec_5,prec_6,prec_7,prec_8,prec_9,time
1,30,2,0.966047619047619,0.9886266504712419,0.9907936887680378,0.972454700865675,0.9423097077035614,0.9579669504256385,0.9567842686555723,0.9862210042887359,0.9667557515082384,0.947653461099438,0.9477136056083424,0.9831675165673868,0.9785025112579766,0.9710563256310543,0.9626995006062146,0.9723470326446384,0.9570466818285903,0.973748456639282,0.9651041139138876,0.9629869141813756,0.9323888312730712,42.00179825099622
1,40,2,0.9663333333333334,0.9886318052650126,0.9918804740426078,0.970767533381085,0.9482853483288322,0.9555667235793449,0.9559938242013761,0.9881563109859418,0.967461792600739,0.9446930535662786,0.948184342921185,0.9824888920565449,0.9769049874281752,0.9728575122727054,0.9622279069433534,0.9715266320190903,0.9603074379238832,0.9726407903907527,0.9623472164483213,0.9677276361727581,0.9336860432664005,51.60995147899666
1,50,2,0.9668571428571429,0.9893605056571518,0.992523792574266,0.9662385370743505,0.9508133455093584,0.9572817056910667,0.9581013057609125,0.9879138279597537,0.9690630888409565,0.9427494189695829,0.9508127402864246,0.9808141350333397,0.975876679603326,0.9743896683840015,0.961201143658433,0.9725160099945405,0.9601240589172473,0.9737893739588235,0.9610811596057982,0.9715872950088564,0.9369525974015908,60.7431224489992
3,30,2,0.9670714285714286,0.9908075968538888,0.9927345851543673,0.9719892595401716,0.9485124866939176,0.9594974389294786,0.960210037144779,0.9864634873149241,0.9686016213744129,0.945389805369957,0.9432056800477853,0.9792288886844382,0.9725927442785234,0.9703535621861556,0.9626629906260529,0.9682176161983511,0.9635128272245452,0.9756148996930303,0.9649093100677304,0.9714262502095037,0.941600272214979,46.87812811600452
3,40,2,0.9675952380952382,0.9913019884382661,0.9929453777344686,0.968149483245488,0.954948425857178,0.9595068506374018,0.9610003427296052,0.9883987940121299,0.9690769287336416,0.9417326460331193,0.9453599190441295,0.9780860263518771,0.9685693395905597,0.9720931307679417,0.9640239312175601,0.9708553061494238,0.9645590825124359,0.9752012715383184,0.964068486149443,0.976758840807328,0.9424000092473852,56.59762835600122
3,50,2,0.9674761904761904,0.9912865240569539,0.9933779036860255,0.9659924034472923,0.9560983798590179,0.960924398646162,0.9596834444936351,0.9869499725380668,0.9683639676947986,0.936777226031132,0.9513108460476882,0.9776427915083539,0.9677762086236557,0.9734438119186486,0.9589580244551787,0.9723906823047267,0.9655590933052187,0.9753930932466489,0.9656160652666863,0.9789072324713872,0.9407363924762071,70.4153177449989
5,30,2,0.9673809523809523,0.9905578236648147,0.9929289665474363,0.9688834131385603,0.955177465845785,0.9570313301277217,0.9615270742501193,0.9867074895118787,0.9681470738542118,0.9436827028638317,0.9455935771725246,0.9817916609697273,0.9713727239458254,0.9758693917804651,0.9633570758738919,0.9727417871837983,0.9628433626760956,0.971447549177743,0.9642760099491844,0.9704161763258679,0.9397310663526592,53.63585320699349
5,40,2,0.9672619047619048,0.9912916788507247,0.993161640710247,0.9662608920148612,0.9556364966347602,0.9567903662723001,0.9610011759458255,0.9879168663012866,0.9692799826815433,0.9384907507712739,0.9489366331471594,0.9796808110877835,0.9677525442274864,0.9758128180185572,0.9633888850233777,0.9761487431833995,0.9622689795445534,0.9714756576247223,0.9634188177216249,0.9727297389898888,0.9408151831659051,66.63389781300066
5,50,2,0.9672142857142857,0.9915208328647158,0.9929508481301459,0.9628865570456812,0.9567877183856146,0.9572911173989901,0.9594198704293231,0.9871909363934885,0.9713219865492768,0.9355496099401641,0.952984084563032,0.9790087731280863,0.9639424481449022,0.9780963736846089,0.9649883677143462,0.9771226284639637,0.9614767546230516,0.971688827197674,0.9606654846156566,0.9776486280487805,0.9397230760359977,77.62609749099647
1,30,5,0.9708333333333334,0.9916172126345995,0.9907363467178316,0.9749820050572439,0.9503810744206127,0.9646772977538646,0.9618086750077686,0.9876464205302613,0.9697639889514068,0.9560834972529632,0.9584918754379833,0.986194306717873,0.9833855738458419,0.9754506628207723,0.9654844817957902,0.976350797110892,0.9652280648229956,0.9756587756457868,0.967829138534,0.9707520301081862,0.9414641750059601,89.07463785000436
