k,alpha,K,acc,rec_0,rec_1,rec_2,rec_3,rec_4,rec_5,rec_6,rec_7,rec_8,rec_9,prec_0,prec_1,prec_2,prec_3,prec_4,prec_5,prec_6,prec_7,prec_8,prec_9,time
1,30,15,0.972642857142857,0.9923563445181499,0.9907428525359145,0.9746950307082735,0.9549055763951657,0.9680307184219032,0.963952181446662,0.9885742539331769,0.9704140049342546,0.9605971187673017,0.9598577583967182,0.9866980728081995,0.9850278618843941,0.9752438341429073,0.9676558588872044,0.9757809940823758,0.9702447534315256,0.9764336423933856,0.9703897697509887,0.9734073533869582,0.9453420956687058,171.0641967870033
1,40,15,0.9731428571428571,0.9916568260561712,0.9911911943465642,0.9747563415002216,0.9553073525133022,0.9682837418228699,0.9637489647192389,0.9888529900918538,0.9723212960443134,0.9618426585293572,0.9612291289820656,0.9849231154842949,0.9831147002643673,0.9772187789615691,0.9683600478914908,0.9764502760105189,0.9697652834337563,0.976946295689522,0.9703736140700341,0.9758464109833035,0.9482950011283343,194.66442543699668
1,50,15,0.9733333333333334,0.9921105678707407,0.9914004814761956,0.9710769777499247,0.957798831761352,0.9686507956301618,0.9646517298171349,0.9898049440429539,0.9711104636281788,0.9596528880763155,0.9645289827417328,0.9856514596886868,0.982991588052403,0.9763976745431389,0.9683883160995047,0.9775649321534527,0.9712496073850628,0.9770343013179882,0.9688692649922372,0.9772816873536245,0.9482146188231121,215.78203485399717
3,30,15,0.9740476190476192,0.9930517482231599,0.9915906504336346,0.9776097543700552,0.9588192170111035,0.9695194851905525,0.9684406017277418,0.988551239481793,0.9745400165671615,0.9591273745134475,0.9570455941889568,0.982101500734592,0.9796435077848451,0.9732482912313272,0.9710437188586696,0.9772628849407458,0.9717444957384832,0.979283625712897,0.9709796997364503,0.9794430113571864,0.9557738450716947,181.72244474400213
3,40,15,0.9746666666666666,0.9928483559302307,0.9924781402671058,0.9759376415968546,0.9625951562619844,0.9710145492148334,0.9663380474504432,0.9895183924735002,0.976418308659994,0.9564892854711491,0.9602421812858338,0.9818956529512671,0.9776270133770809,0.9769017628178064,0.9714363770731814,0.9781883844679234,0.9716351020949971,0.9784807540707986,0.9712154683628158,0.9827630873310947,0.9572290163135281,210.14035195999895
3,50,15,0.9748809523809524,0.9921213283059969,0.9933173785055006,0.9750852930005725,0.9637651926479914,0.9719066299687793,0.9646328348578405,0.9909773030899163,0.9768484779027895,0.9541900950932896,0.9626850326278841,0.9821899800693118,0.9775790754537582,0.9771609211171887,0.9696284504783648,0.9786460253743239,0.9720838413308122,0.9807658868071745,0.9717402544202737,0.9835168724664125,0.9564370384318277,230.48191687600047
5,30,15,0.9745714285714286,0.9923046938138333,0.9924600742325204,0.9761769429823931,0.9603024778363001,0.9701369224560386,0.9702363557970363,0.9899774700042052,0.9762181810653099,0.9574106565290723,0.9580136575842563,0.9847689952505188,0.9800589083152254,0.9767346753532311,0.9741863230700221,0.9781104450061918,0.9695301889439707,0.9783039302973927,0.9692640037546261,0.977176531422237,0.9573688692295774,194.60534589500458
5,40,15,0.9750952380952381,0.9933154189225589,0.9933080060654881,0.9751542395992964,0.9638672204865497,0.9706370242313554,0.9682666616159107,0.9912344764926697,0.9755783183272235,0.9549429339649547,0.9618488312081795,0.9858557852205222,0.9769097217673746,0.9804402644168034,0.9736728672521039,0.9810212611790556,0.9700873946137882,0.9780077344999621,0.9681351285399529,0.9805474797346038,0.956983700261672,220.18501745200047
5,50,15,0.9744047619047618,0.9932682827043198,0.993695871077954,0.9722614916686023,0.9657883071387595,0.9700298550248266,0.9661484655074964,0.9900021849012389,0.9746491405716692,0.9517238072508056,0.9630621110392481,0.9842036317468236,0.9749038483900272,0.9791906076188398,0.9705701828503062,0.9801807518486484,0.969846362065027,0.9807223925881916,0.9672736684781467,0.9840057821623361,0.9540146823772596,239.38937871200324
1,30,20,0.9730000000000001,0.9919059232398034,0.9904261483327419,0.9765735710683451,0.9554644097967557,0.9686806557382134,0.9643373293639771,0.9886376454118808,0.9709539273139807,0.9601004727071384,0.9598192903916732,0.987604922360689,0.9852153424237666,0.9763157110164096,0.9689207260417756,0.9766767165156918,0.9690176510932069,0.9764376999379657,0.9709755651134995,0.9735677400337817,0.9451113931467144,308.52163386300526
