instances,k,alpha,time,acc
40000.0,5.0,30.0,10.772027564060409,0.9765
40000.0,5.0,50.0,13.574665858002845,0.9755
40000.0,5.0,40.0,12.100832308002282,0.975
40000.0,3.0,40.0,11.597643141052686,0.975
40000.0,3.0,50.0,13.077694573963525,0.9725
40000.0,1.0,50.0,12.597013577993494,0.9725
40000.0,3.0,30.0,10.281422741070855,0.9725
30000.0,3.0,40.0,9.118251341977155,0.9725
30000.0,5.0,30.0,8.34628713002894,0.972
30000.0,3.0,30.0,7.944268202001695,0.971
30000.0,3.0,50.0,10.35862840001937,0.9705
30000.0,5.0,40.0,9.501771556970196,0.9705
40000.0,1.0,30.0,9.784364760038443,0.9705
40000.0,1.0,40.0,11.10499104001792,0.9705
30000.0,5.0,50.0,10.770775170007257,0.9695
30000.0,1.0,40.0,8.74952918192139,0.9695
30000.0,1.0,30.0,7.561775870039126,0.969
30000.0,1.0,50.0,10.004010523029136,0.9685
20000.0,1.0,40.0,6.6922785099595785,0.9645
20000.0,3.0,30.0,5.705314947990701,0.9645
20000.0,5.0,50.0,8.49247621302493,0.964
20000.0,3.0,50.0,8.25333045196021,0.964
20000.0,5.0,30.0,5.971618068986572,0.964
20000.0,3.0,40.0,6.9311893910053195,0.9635
20000.0,1.0,30.0,5.444904808944557,0.963
15000.0,5.0,30.0,4.7808000560035,0.963
15000.0,3.0,40.0,5.605796636024024,0.962
20000.0,1.0,50.0,8.035150393960066,0.962
20000.0,5.0,40.0,7.195969540916849,0.962
10000.0,5.0,30.0,6.534747469006105,0.9615
15000.0,5.0,50.0,6.706367035047152,0.96
15000.0,3.0,30.0,4.591202096024063,0.96
15000.0,5.0,40.0,5.794314316008241,0.96
10000.0,5.0,40.0,17.332613129925445,0.9595
10000.0,3.0,50.0,12.951243180024903,0.959
15000.0,3.0,50.0,6.50773370603565,0.9585
10000.0,5.0,50.0,13.067601729009766,0.958
10000.0,3.0,40.0,17.204338546958752,0.9575
15000.0,1.0,40.0,5.411502606992144,0.9575
15000.0,1.0,50.0,6.313268918078392,0.9575
10000.0,1.0,40.0,17.059930732939392,0.9565
10000.0,1.0,50.0,12.816246425034478,0.956
15000.0,1.0,30.0,4.393027764977887,0.9555
10000.0,3.0,30.0,6.367773486999794,0.9555
10000.0,1.0,30.0,6.210848226037342,0.953
5000.0,3.0,30.0,2.7134594660601574,0.946
5000.0,1.0,50.0,5.046380093961488,0.9455
5000.0,5.0,50.0,5.175794509006664,0.945
5000.0,1.0,40.0,3.4336329500074494,0.944
5000.0,1.0,30.0,2.6501752310432494,0.9435
5000.0,3.0,50.0,5.107331673963928,0.942
5000.0,5.0,40.0,3.557624125969596,0.942
5000.0,5.0,30.0,2.7789708720520134,0.942
5000.0,3.0,40.0,3.493540294934064,0.9415
1000.0,5.0,40.0,2.4548263730830513,0.9
1000.0,3.0,30.0,1.6539378979941832,0.8994999999999999
1000.0,5.0,30.0,1.6633598809712566,0.8974999999999999
1000.0,3.0,40.0,2.444863740063738,0.8954999999999999
1000.0,1.0,40.0,2.435894979047589,0.894
1000.0,1.0,30.0,1.6387558479909785,0.893
1000.0,5.0,50.0,3.124389656004496,0.892
1000.0,3.0,50.0,3.108133144967724,0.891
1000.0,1.0,50.0,3.0934495700057596,0.8874999999999998
100.0,1.0,30.0,2.0991981180268335,0.7095
100.0,1.0,50.0,3.407222429988906,0.696
100.0,1.0,40.0,3.2292481640470214,0.696
100.0,3.0,30.0,2.101135927019641,0.6455
100.0,3.0,40.0,3.2319651179714124,0.6365
100.0,3.0,50.0,3.411083051993046,0.633
100.0,5.0,30.0,2.1020379550172947,0.6205
100.0,5.0,40.0,3.2316460279980674,0.614
100.0,5.0,50.0,3.41167454700917,0.603
